Latitude,Longitude,UTC Time,Elevation,Speed,Heading
40.007283171,-105.266648974,2016-04-24T22:35:04.000Z,1649.286,5.026,274.5105
40.007280806,-105.267015587,2016-04-24T22:35:10.000Z,1648.043,5.307,270.8739
40.00728179,-105.267319556,2016-04-24T22:35:15.000Z,1647.913,5.155,268.1444
40.007284297,-105.26761223,2016-04-24T22:35:20.000Z,1647.581,5.001,268.5383
40.007288116,-105.26790182,2016-04-24T22:35:25.000Z,1648.63,4.759,268.9734
40.007307676,-105.268163691,2016-04-24T22:35:30.000Z,1647.597,4.381,281.9224
40.007427684,-105.268370123,2016-04-24T22:35:35.000Z,1648.827,4.295,321.8451
40.007595592,-105.26851495,2016-04-24T22:35:40.000Z,1649.941,4.284,343.6407
40.007811899,-105.268683407,2016-04-24T22:35:46.000Z,1650.872,4.712,319.1625
40.007929069,-105.26890422,2016-04-24T22:35:51.000Z,1650.922,4.862,289.8944
40.008008796,-105.269115783,2016-04-24T22:35:55.000Z,1651.261,4.835,297.8161
40.008122917,-105.269359189,2016-04-24T22:36:01.000Z,1651.714,4.14,309.5826
40.008266571,-105.269574876,2016-04-24T22:36:06.000Z,1651.371,4.711,309.8193
40.00838374,-105.269795692,2016-04-24T22:36:11.000Z,1651.422,3.858,291.2265
40.008468553,-105.269925105,2016-04-24T22:36:16.000Z,1651.087,3.067,322.8255
40.00861811,-105.269970322,2016-04-24T22:36:21.000Z,1651.519,4.178,352.1478
40.008859907,-105.269963184,2016-04-24T22:36:26.000Z,1652.188,5.173,1.5693
40.009071371,-105.269938583,2016-04-24T22:36:31.000Z,1652.206,4.421,5.1121
40.009228851,-105.269887267,2016-04-24T22:36:36.000Z,1653.144,2.95,10.4836
40.009406737,-105.269742502,2016-04-24T22:36:42.000Z,1654.494,3.99,58.3952
40.00938688,-105.269520677,2016-04-24T22:36:46.000Z,1654.011,4.705,102.4922
40.009231771,-105.269205371,2016-04-24T22:36:52.000Z,1654.314,4.843,134.6875
40.009084056,-105.268975302,2016-04-24T22:36:57.000Z,1655.195,3.986,130.3644
40.009009913,-105.268766819,2016-04-24T22:37:02.000Z,1654.117,4.038,108.1609
40.009018878,-105.268440251,2016-04-24T22:37:07.000Z,1654.487,5.46,90.4352
40.009016886,-105.268099304,2016-04-24T22:37:12.000Z,1654.751,5.389,94.549
40.008902763,-105.267855898,2016-04-24T22:37:17.000Z,1654.297,4.696,131.8585
40.008614605,-105.267779852,2016-04-24T22:37:22.000Z,1653.54,4.865,140.2041
40.008480803,-105.267573418,2016-04-24T22:37:27.000Z,1651.024,4.805,128.2877
40.008385543,-105.267381363,2016-04-24T22:37:31.000Z,1651.185,4.36,115.4639
40.008342757,-105.267093814,2016-04-24T22:37:37.000Z,1650.625,3.549,114.3
40.008150596,-105.267019846,2016-04-24T22:37:43.000Z,1648.054,4.369,175.2427
40.007914383,-105.267030077,2016-04-24T22:37:48.000Z,1646.646,4.982,181.6315
40.007750095,-105.267049557,2016-04-24T22:37:52.000Z,1648.164,4.295,183.6506
40.007459598,-105.267073129,2016-04-24T22:37:58.000Z,1646.161,5.836,182.7919
40.007199524,-105.267082323,2016-04-24T22:38:03.000Z,1647.91,5.769,180.1011
40.006946558,-105.267083304,2016-04-24T22:38:08.000Z,1648.719,5.479,179.1896
40.006713181,-105.267079156,2016-04-24T22:38:13.000Z,1648.491,4.591,179.5818
40.006558251,-105.267022652,2016-04-24T22:38:18.000Z,1647.216,4.279,122.5518
40.006541949,-105.266729981,2016-04-24T22:38:23.000Z,1646.263,5.277,87.9576
40.006463741,-105.266507129,2016-04-24T22:38:28.000Z,1645.723,3.2,141.9141
40.006177181,-105.266521455,2016-04-24T22:38:33.000Z,1647.867,5.132,184.2804
40.005892357,-105.266516272,2016-04-24T22:38:39.000Z,1648.226,4.817,162.3723
40.005773146,-105.266355029,2016-04-24T22:38:43.000Z,1648.446,4.627,134.687
40.005591031,-105.266093139,2016-04-24T22:38:49.000Z,1649.213,5.003,124.2869
40.005578575,-105.265823063,2016-04-24T22:38:54.000Z,1649.306,4.248,101.2756
40.005436937,-105.26568133,2016-04-24T22:38:59.000Z,1649.383,3.818,166.3738
40.005218578,-105.265705943,2016-04-24T22:39:04.000Z,1648.724,5.22,187.2327
40.004986213,-105.265738768,2016-04-24T22:39:09.000Z,1648.363,4.765,179.2021
40.004827522,-105.265627838,2016-04-24T22:39:14.000Z,1649.142,4.325,117.1451
40.004790103,-105.2653516,2016-04-24T22:39:19.000Z,1649.427,4.982,92.5542
40.004776423,-105.265052772,2016-04-24T22:39:24.000Z,1651.238,4.945,90.5653
40.004765488,-105.264771405,2016-04-24T22:39:29.000Z,1651.13,4.869,93.9925
40.004743596,-105.26447566,2016-04-24T22:39:34.000Z,1650.916,5.047,100.9031
40.004748189,-105.264174785,2016-04-24T22:39:40.000Z,1650.308,4.59,49.2009
40.004954078,-105.26401359,2016-04-24T22:39:45.000Z,1651.062,5.731,19.3207
40.005232005,-105.264018762,2016-04-24T22:39:50.000Z,1650.06,5.715,1.6433
40.005475527,-105.264125592,2016-04-24T22:39:55.000Z,1648.945,5.866,324.1899
40.005713366,-105.264394675,2016-04-24T22:40:00.000Z,1645.47,6.629,328.3738
40.005976265,-105.26450459,2016-04-24T22:40:05.000Z,1644.901,6.031,353.4176
40.006234314,-105.264421448,2016-04-24T22:40:10.000Z,1643.42,5.928,24.0028
40.00645878,-105.264218151,2016-04-24T22:40:15.000Z,1643.271,6.255,34.1114
40.006722502,-105.264106251,2016-04-24T22:40:20.000Z,1644.15,6.321,6.6672
40.006991798,-105.264130932,2016-04-24T22:40:25.000Z,1644.291,5.513,355.0884
40.007209868,-105.264012866,2016-04-24T22:40:31.000Z,1643.434,3.476,47.0227
40.007196384,-105.263839315,2016-04-24T22:40:36.000Z,1643.663,2.766,101.7213
40.007187462,-105.263765376,2016-04-24T22:40:40.000Z,1643.288,1.192,96.644
40.007185939,-105.263776671,2016-04-24T22:40:46.000Z,1643.489,0.276,97.321
40.007194059,-105.263805428,2016-04-24T22:40:51.000Z,1642.415,0.0,0.0
40.007200956,-105.263805428,2016-04-24T22:40:56.000Z,1643.058,0.303,16.8134
40.007211913,-105.263819806,2016-04-24T22:41:01.000Z,1643.163,0.0,0.0
40.007203492,-105.263831101,2016-04-24T22:41:06.000Z,1642.722,0.0,0.0
40.007201969,-105.263842397,2016-04-24T22:41:11.000Z,1642.924,0.0,0.0
40.007207553,-105.263845479,2016-04-24T22:41:16.000Z,1642.185,0.0,0.0
40.007206029,-105.263856775,2016-04-24T22:41:22.000Z,1642.386,0.0,0.0
40.007206029,-105.263856775,2016-04-24T22:41:27.000Z,1642.386,0.0,0.0
